channel_name,channel_url,primary_language,country_code
Adam Ondra,https://www.youtube.com/@AdamOndra,en,
Bouldering Bobat,https://www.youtube.com/@BoulderingBobat,en,
Bouldering Highlights,https://www.youtube.com/@BoulderingHighlights,en,
Catalyst Climbing,https://www.youtube.com/@CatalystClimbing,en,
Climbing Magazine,https://www.youtube.com/@ClimbingMagazine,en,
Climbing Nomads,https://www.youtube.com/@TheClimbingNomads,en,
Hooper's Beta,https://www.youtube.com/@HoopersBeta,en,
HowNOT2,https://www.youtube.com/@HowNOT2,en,
IFSC,https://www.youtube.com/@IFSClimbing,en,
Lattice Training,https://www.youtube.com/@LatticeTraining,en,
Magnus Midtbø,https://www.youtube.com/@magmidt,en,
Mellow Climbing,https://www.youtube.com/@mellowclimbing,en,
Movement for Climbers,https://www.youtube.com/@movementforclimbers,en,
Ortovox,https://www.youtube.com/@ORTOVOX,en,
Petzl,https://www.youtube.com/@petzl,en,
Power Company Climbing,https://www.youtube.com/@powercompanyclimbing,en,
Reel Rock,https://www.youtube.com/@reelrock,en,
REI,https://www.youtube.com/@REI,en,
Rockentry,https://www.youtube.com/@rockentry,en,
The Climbing Doctor,https://www.youtube.com/@theclimbingdoctor,en,
Wide Boyz,https://www.youtube.com/@WideBoyztv,en,
